StoreId,Item,Quantity,Price(USD),StaffId,Datetime
3,Cocktails,2,4.97,3468,20240303_191818
3,Cocktails,3,4.08,3551,20240303_191818
3,Lemon tea,5,2.09,4503,20240303_191818
3,Cocktails,3,9.03,4470,20240303_191818
3,Cocktails,2,4.87,2232,20240303_191818
3,Coffee,4,9.54,2389,20240303_191818
3,Cocktails,2,9.22,3049,20240303_191818
3,Cider,3,3.96,2028,20240303_191818
3,Hot chocolate,5,9.67,4850,20240303_191818
3,Lemon tea,1,9.03,3783,20240303_191818
3,Lemon tea,4,4.70,2948,20240303_191818
3,Lemon tea,4,4.23,2662,20240303_191818
3,Cocktails,1,9.96,4904,20240303_191818
3,Hard soda,4,8.49,1804,20240303_191818
3,Barley,1,6.53,4555,20240303_191818
3,Coffee,4,0.6,2098,20240303_191818
3,Beer,1,1.04,4690,20240303_191818
3,Mixed drinks,1,4.23,4010,20240303_191818
3,Beer,2,6.03,1508,20240303_191818
3,Wine,2,3.52,3470,20240303_191818
3,Cocktails,5,0.25,3807,20240303_191818
3,Lemon tea,3,8.52,1311,20240303_191818
3,Mixed drinks,4,8.36,4470,20240303_191818
3,Wine,1,3.51,1275,20240303_191818
3,Cider,1,8.57,2322,20240303_191818
3,Beer,1,8.48,3951,20240303_191818
3,Beer,2,6.19,2802,20240303_191818
3,Hard soda,2,0.53,1194,20240303_191818
3,Coffee,3,0.66,3312,20240303_191818
3,Mixed drinks,3,1.77,3929,20240303_191818
3,Hot chocolate,4,3.32,4907,20240303_191818
3,Hot chocolate,1,5.11,4839,20240303_191818
3,Mixed drinks,1,5.40,4901,20240303_191818
3,Coffee,3,7.98,4908,20240303_191818
3,Hard soda,1,1.05,2227,20240303_191818
3,Mixed drinks,5,7.74,3508,20240303_191818
3,Cocktails,1,8.04,4498,20240303_191818
3,Coffee,4,7.77,3535,20240303_191818
3,Mixed drinks,5,7.68,4513,20240303_191818
3,Hard soda,3,9.90,1248,20240303_191818
3,Wine,3,2.57,4667,20240303_191818
3,Coffee,1,9.15,1025,20240303_191818
3,Cocktails,3,1.53,4407,20240303_191818
3,Mixed drinks,3,4.92,4633,20240303_191818
3,Cocktails,3,5.97,1767,20240303_191818
3,Hard soda,4,8.9,2884,20240303_191818
3,Lemon tea,4,1.82,2737,20240303_191818
3,Beer,1,6.21,4583,20240303_191818
3,Cider,5,0.80,4423,20240303_191818
3,Coffee,5,4.08,2222,20240303_191818
3,Cocktails,3,6.45,3971,20240303_191818
3,Hot chocolate,1,7.34,1402,20240303_191818
3,Lemon tea,2,5.83,1617,20240303_191818
3,Wine,4,6.01,3530,20240303_191818
3,Cocktails,1,0.48,3205,20240303_191818
3,Wine,3,5.76,4926,20240303_191818
3,Hot chocolate,2,0.77,4096,20240303_191818
3,Lemon tea,5,1.18,4464,20240303_191818
3,Cocktails,4,4.57,3239,20240303_191818
3,Lemon tea,3,9.03,3986,20240303_191818
3,Lemon tea,2,9.43,1755,20240303_191818
3,Cocktails,2,2.06,2326,20240303_191818
3,Cider,3,2.55,2151,20240303_191818
3,Hot chocolate,2,7.23,2569,20240303_191818
3,Hot chocolate,2,3.95,2573,20240303_191818
3,Beer,1,3.82,3775,20240303_191818
3,Cider,2,1.07,3985,20240303_191818
3,Cocktails,4,1.67,1322,20240303_191818
3,Barley,3,7.11,1574,20240303_191818
3,Cocktails,4,6.95,2903,20240303_191818
3,Mixed drinks,3,5.57,3323,20240303_191818
3,Mixed drinks,4,1.30,3365,20240303_191818
3,Cider,2,4.39,1444,20240303_191818
3,Beer,4,9.86,2680,20240303_191818
3,Lemon tea,1,6.94,4338,20240303_191818
3,Lemon tea,5,7.96,2542,20240303_191818
3,Beer,2,3.94,3214,20240303_191818
3,Hot chocolate,1,9.43,2853,20240303_191818
3,Coffee,2,0.37,1337,20240303_191818
3,Coffee,4,4.69,4411,20240303_191818
3,Hard soda,1,3.42,3006,20240303_191818
3,Hard soda,5,7.16,1475,20240303_191818
3,Wine,3,3.60,4011,20240303_191818
3,Wine,3,8.57,1127,20240303_191818
3,Beer,5,7.14,3442,20240303_191818
3,Cocktails,3,9.45,3563,20240303_191818
3,Lemon tea,4,0.86,3829,20240303_191818
3,Barley,4,1.38,4991,20240303_191818
3,Hard soda,4,3.85,3104,20240303_191818
3,Mixed drinks,1,9.23,3417,20240303_191818
3,Cocktails,2,8.05,3594,20240303_191818
3,Hot chocolate,1,0.11,1385,20240303_191818
3,Hard soda,4,1.20,2751,20240303_191818
3,Coffee,3,4.67,4945,20240303_191818
3,Coffee,4,3.69,4306,20240303_191818
3,Cider,3,1.73,2340,20240303_191818
3,Cocktails,2,8.66,1566,20240303_191818
3,Mixed drinks,3,4.62,4024,20240303_191818
3,Barley,5,8.12,2496,20240303_191818
3,Cider,1,9.37,2696,20240303_191818
