StoreId,Item,Quantity,Price(USD),StaffId,Datetime
2,Cider,2,9.92,3260,20240303_191818
2,Mixed drinks,4,6.67,2608,20240303_191818
2,Hot chocolate,4,6.09,2662,20240303_191818
2,Barley,2,2.35,1371,20240303_191818
2,Hot chocolate,2,4.44,3791,20240303_191818
2,Hard soda,3,5.82,1924,20240303_191818
2,Lemon tea,3,9.14,2102,20240303_191818
2,Hard soda,3,5.93,2353,20240303_191818
2,Cider,1,9.39,4501,20240303_191818
2,Beer,2,8.67,3200,20240303_191818
2,Mixed drinks,3,1.57,3252,20240303_191818
2,Cider,1,9.98,4960,20240303_191818
2,Lemon tea,1,5.28,4852,20240303_191818
2,Beer,4,5.09,1809,20240303_191818
2,Hot chocolate,3,1.91,2661,20240303_191818
2,Hot chocolate,3,9.61,3582,20240303_191818
2,Beer,3,4.93,3514,20240303_191818
2,Mixed drinks,1,9.85,1281,20240303_191818
2,Lemon tea,2,4.68,4747,20240303_191818
2,Cocktails,2,1.08,4058,20240303_191818
2,Beer,1,5.26,3631,20240303_191818
2,Cider,2,1.89,2885,20240303_191818
2,Cocktails,1,4.64,2655,20240303_191818
2,Cocktails,4,4.59,2250,20240303_191818
2,Beer,1,0.46,1007,20240303_191818
2,Mixed drinks,4,4.14,1809,20240303_191818
2,Hot chocolate,4,7.51,1290,20240303_191818
2,Hot chocolate,1,9.71,3761,20240303_191818
2,Cider,4,4.69,2430,20240303_191818
2,Hot chocolate,5,7.13,1928,20240303_191818
2,Beer,5,4.99,2573,20240303_191818
2,Barley,5,1.60,4555,20240303_191818
2,Beer,4,4.09,1241,20240303_191818
2,Wine,1,8.98,4499,20240303_191818
2,Barley,2,3.12,1242,20240303_191818
2,Lemon tea,5,9.53,3809,20240303_191818
2,Beer,2,4.39,3309,20240303_191818
2,Wine,4,7.71,1461,20240303_191818
2,Barley,5,7.23,2944,20240303_191818
2,Hot chocolate,4,8.82,2053,20240303_191818
2,Coffee,2,5.26,4551,20240303_191818
2,Hard soda,1,1.02,4192,20240303_191818
2,Beer,3,5.93,3472,20240303_191818
2,Hot chocolate,3,1.73,1551,20240303_191818
2,Hot chocolate,3,5.12,1145,20240303_191818
2,Mixed drinks,5,6.17,1408,20240303_191818
2,Hard soda,4,2.99,4821,20240303_191818
2,Cocktails,1,3.54,1026,20240303_191818
2,Mixed drinks,4,9.86,2527,20240303_191818
2,Beer,4,2.44,1639,20240303_191818
2,Cider,5,5.46,1492,20240303_191818
2,Mixed drinks,5,9.98,1055,20240303_191818
2,Hard soda,5,8.33,2842,20240303_191818
2,Hard soda,4,0.71,1191,20240303_191818
2,Coffee,1,6.93,3915,20240303_191818
2,Mixed drinks,3,1.73,1661,20240303_191818
2,Barley,4,2.25,3880,20240303_191818
2,Hard soda,2,6.72,2122,20240303_191818
2,Hard soda,5,7.43,1615,20240303_191818
2,Barley,3,0.46,2339,20240303_191818
2,Coffee,3,7.23,2260,20240303_191818
2,Wine,5,6.49,3373,20240303_191818
2,Hot chocolate,3,1.07,2456,20240303_191818
2,Hot chocolate,1,8.66,3772,20240303_191818
2,Cider,2,5.09,1592,20240303_191818
2,Mixed drinks,2,3.03,4071,20240303_191818
2,Coffee,4,3.85,3428,20240303_191818
2,Coffee,4,7.41,1138,20240303_191818
2,Mixed drinks,3,6.38,3015,20240303_191818
2,Hard soda,2,9.71,3625,20240303_191818
2,Mixed drinks,4,9.5,4631,20240303_191818
2,Mixed drinks,4,8.95,3984,20240303_191818
2,Mixed drinks,2,2.57,4267,20240303_191818
2,Beer,2,3.46,2719,20240303_191818
2,Barley,2,2.31,4870,20240303_191818
2,Wine,4,3.24,1037,20240303_191818
2,Wine,4,3.21,2525,20240303_191818
2,Cocktails,2,3.47,3962,20240303_191818
2,Wine,1,2.46,1664,20240303_191818
2,Cocktails,4,5.20,4499,20240303_191818
2,Beer,2,2.01,2374,20240303_191818
2,Barley,1,4.39,4807,20240303_191818
2,Mixed drinks,4,3.83,4918,20240303_191818
2,Coffee,4,5.03,4905,20240303_191818
2,Coffee,3,4.18,1789,20240303_191818
2,Lemon tea,1,9.65,3209,20240303_191818
2,Mixed drinks,4,0.23,1151,20240303_191818
2,Lemon tea,1,1.02,3832,20240303_191818
2,Mixed drinks,3,1.28,1887,20240303_191818
2,Cocktails,3,5.57,2849,20240303_191818
2,Beer,4,2.69,4930,20240303_191818
2,Barley,3,3.06,1524,20240303_191818
2,Coffee,3,7.65,2781,20240303_191818
2,Coffee,4,7.72,3103,20240303_191818
2,Lemon tea,1,0.49,1317,20240303_191818
2,Hot chocolate,4,7.92,3759,20240303_191818
2,Wine,4,5.44,4566,20240303_191818
2,Cider,4,7.01,4746,20240303_191818
2,Cocktails,3,8.42,2092,20240303_191818
2,Hard soda,4,0.32,1475,20240303_191818
