StoreId,Item,Quantity,Price(USD),StaffId,Datetime
4,Cider,1,1.44,1930,20240303_191818
4,Beer,3,8.53,3175,20240303_191818
4,Wine,1,0.39,4281,20240303_191818
4,Beer,3,7.19,4107,20240303_191818
4,Beer,3,3.99,4280,20240303_191818
4,Lemon tea,3,4.73,1442,20240303_191818
4,Coffee,2,7.83,4554,20240303_191818
4,Barley,4,5.98,3040,20240303_191818
4,Hard soda,3,2.27,2290,20240303_191818
4,Coffee,5,8.99,3737,20240303_191818
4,Lemon tea,5,1.95,2901,20240303_191818
4,Wine,5,1.76,3080,20240303_191818
4,Hard soda,1,5.64,2995,20240303_191818
4,Lemon tea,2,5.70,2495,20240303_191818
4,Mixed drinks,2,7.66,4618,20240303_191818
4,Cider,2,9.81,4900,20240303_191818
4,Beer,3,3.15,4234,20240303_191818
4,Cider,5,1.2,4461,20240303_191818
4,Hard soda,3,1.62,1632,20240303_191818
4,Lemon tea,1,4.81,3900,20240303_191818
4,Hot chocolate,1,1.98,3271,20240303_191818
4,Hard soda,4,4.79,3710,20240303_191818
4,Beer,4,0.36,2939,20240303_191818
4,Hot chocolate,4,2.47,3972,20240303_191818
4,Barley,2,6.36,1427,20240303_191818
4,Coffee,5,7.32,4146,20240303_191818
4,Cider,3,3.29,3273,20240303_191818
4,Barley,4,8.34,1763,20240303_191818
4,Hot chocolate,5,6.42,3708,20240303_191818
4,Hot chocolate,1,3.14,4206,20240303_191818
4,Mixed drinks,4,1.68,3756,20240303_191818
4,Hot chocolate,4,8.37,1453,20240303_191818
4,Cocktails,2,7.48,3691,20240303_191818
4,Cider,3,3.85,1224,20240303_191818
4,Cider,4,1.10,2944,20240303_191818
4,Lemon tea,4,1.45,3969,20240303_191818
4,Barley,2,4.14,4347,20240303_191818
4,Hot chocolate,2,1.89,4686,20240303_191818
4,Hot chocolate,4,3.44,3685,20240303_191818
4,Wine,2,6.16,2506,20240303_191818
4,Cider,2,0.89,4696,20240303_191818
4,Cocktails,3,2.72,1428,20240303_191818
4,Mixed drinks,4,6.43,1234,20240303_191818
4,Beer,2,3.69,2059,20240303_191818
4,Hard soda,5,7.03,4750,20240303_191818
4,Coffee,5,7.71,3975,20240303_191818
4,Beer,1,4.21,1200,20240303_191818
4,Wine,5,9.40,4880,20240303_191818
4,Coffee,2,5.30,4372,20240303_191818
4,Cider,5,6.73,2598,20240303_191818
4,Cider,1,0.17,2730,20240303_191818
4,Cider,1,5.83,3256,20240303_191818
4,Coffee,4,9.17,4287,20240303_191818
4,Cider,4,2.54,4810,20240303_191818
4,Barley,3,9.44,2718,20240303_191818
4,Lemon tea,4,1.79,4704,20240303_191818
4,Hard soda,1,2.14,2946,20240303_191818
4,Cocktails,3,3.34,4899,20240303_191818
4,Cider,1,5.36,2294,20240303_191818
4,Mixed drinks,3,5.84,1477,20240303_191818
4,Cider,1,0.12,3663,20240303_191818
4,Barley,5,6.19,1110,20240303_191818
4,Cider,4,4.52,3224,20240303_191818
4,Cider,5,9.33,4737,20240303_191818
4,Hard soda,1,0.36,2403,20240303_191818
4,Wine,4,6.33,4041,20240303_191818
4,Wine,2,1.19,4420,20240303_191818
4,Lemon tea,3,1.11,4415,20240303_191818
4,Beer,4,3.35,3311,20240303_191818
4,Beer,5,0.56,3953,20240303_191818
4,Cocktails,2,3.51,1843,20240303_191818
4,Cocktails,5,1.34,4859,20240303_191818
4,Cider,5,2.76,3655,20240303_191818
4,Hot chocolate,2,9.04,4844,20240303_191818
4,Wine,4,5.61,3060,20240303_191818
4,Hard soda,3,2.79,4323,20240303_191818
4,Hard soda,5,8.93,2794,20240303_191818
4,Wine,3,8.13,4199,20240303_191818
4,Mixed drinks,1,6.92,4137,20240303_191818
4,Wine,5,6.95,1166,20240303_191818
4,Barley,3,3.77,2243,20240303_191818
4,Coffee,2,2.10,4306,20240303_191818
4,Hard soda,5,6.43,2864,20240303_191818
4,Mixed drinks,3,0.46,4397,20240303_191818
4,Cocktails,2,3.87,4129,20240303_191818
4,Mixed drinks,4,6.62,2876,20240303_191818
4,Coffee,5,2.64,1792,20240303_191818
4,Wine,5,3.34,3468,20240303_191818
4,Hot chocolate,2,9.63,2109,20240303_191818
4,Hot chocolate,5,9.92,4693,20240303_191818
4,Beer,3,4.48,4236,20240303_191818
4,Lemon tea,5,6.14,4578,20240303_191818
4,Hard soda,1,4.87,2486,20240303_191818
4,Wine,2,1.97,4964,20240303_191818
4,Wine,3,8.88,4107,20240303_191818
4,Cider,1,2.98,2245,20240303_191818
4,Hard soda,2,6.27,4768,20240303_191818
4,Beer,4,2.24,1079,20240303_191818
4,Cocktails,2,6.99,1458,20240303_191818
4,Cocktails,4,5.26,4024,20240303_191818
